Round 0 | Team 1 | Discarded Steel Giant [Balance] - 4 pips (Chance: 85%) | Reward: 0.00
Round 9 | Team 2 | Casting pass | Reward: 0.00
Round 10 | Team 1 | Drew 0cards | Reward: 0.00
Round 10 | Team 1 | Casting pass | Reward: 0.00
Round 10 | Team 2 | Casting TC Empower | Reward: 0.00
Round 11 | Team 1 | Discarded Jinn’s Defense [Myth] - 3 pips (Chance: 100%) | Reward: 0.00
Round 11 | Team 1 | Discarded Reshuffle [Balance] - 4 pips (Chance: 100%) | Reward: 0.00
Round 11 | Team 1 | Drew 1cards | Reward: 0.00
Round 11 | Team 1 | Drew TC Legion-Shield | Reward: 0.00
Round 11 | Team 1 | Casting TC Blinding Light | Reward: 0.00
Round 11 | Team 2 | Casting TC Elemental Trap | Reward: 0.00
Round 12 | Team 1 | Discarded TC Weakness [Balance] - 0 pips (Chance: 100%) | Reward: 0.00
Round 12 | Team 1 | Discarded TC Cleanse Charm [Storm] - 0 pips (Chance: 100%) | Reward: 0.00
Round 12 | Team 1 | Discarded TC Legion-Shield [Ice] - 1 pips (Chance: 100%) | Reward: 0.00
Round 12 | Team 1 | Discarded Balance Blade [Balance] - 0 pips (Chance: 100%) | Reward: 0.00
Round 12 | Team 1 | Discarded Glacial Fortress [Ice] - 3 pips (Chance: 100%) | Reward: 0.00
Round 12 | Team 1 | Drew 3cards | Reward: 0.00
Round 12 | Team 1 | Drew TC Legion-Shield | Reward: 0.00
Round 12 | Team 1 | Drew TC Blinding Light | Reward: 0.00
Round 12 | Team 1 | Drew TC Infallible | Reward: 0.00
Round 12 | Team 1 | Casting TC Legion-Shield | Reward: 0.00
Round 12 | Team 2 | Casting Shadow Shrike | Reward: 0.00
Round 13 | Team 1 | Discarded TC Blinding Light [Myth] - 2 pips (Chance: 80%) | Reward: 0.00
Round 13 | Team 1 | Discarded Oni’s Shadow [Balance] - 3 pips (Chance: 100%) | Reward: 0.00
Round 13 | Team 1 | Discarded Duststorm Jinn [Balance] - 9 pips (Chance: 80%) | Reward: 0.00
Round 13 | Team 1 | Drew 1cards | Reward: 0.00
Round 13 | Team 1 | Drew TC Elemental Shield | Reward: 0.00
Round 13 | Team 1 | Casting Bladestorm | Reward: 0.00
Round 13 | Team 2 | Casting TC Weakness | Reward: 0.00
Round 14 | Team 1 | Discarded Wand-Hit [Balance] - 1 pips (Chance: 100%) | Reward: 0.00
Round 14 | Team 1 | Discarded TC Elemental Shield [Balance] - 0 pips (Chance: 100%) | Reward: 0.00
Round 14 | Team 1 | Discarded TC Infallible [Astral] - 0 pips (Chance: 100%) | Reward: 0.00
Round 14 | Team 1 | Discarded Wand-Hit [Balance] - 1 pips (Chance: 100%) | Reward: 0.00
Round 14 | Team 1 | Discarded TC Empower [Death] - 0 pips (Chance: 100%) | Reward: 0.00
Round 14 | Team 1 | Drew 3cards | Reward: 0.00
Round 14 | Team 1 | Drew TC Power Nova | Reward: 0.00
Round 14 | Team 1 | Drew TC Infallible | Reward: 0.00
Round 14 | Team 1 | Drew TC Infallible | Reward: 0.00
Round 14 | Team 1 | Casting TC Power Nova | Reward: 0.00
Round 14 | Team 2 | Casting Glacial Fortress | Reward: 0.00
Round 15 | Team 1 | Discarded Stun Block [Ice] - 0 pips (Chance: 100%) | Reward: 0.00
Round 15 | Team 1 | Discarded TC Infallible [Astral] - 0 pips (Chance: 100%) | Reward: 0.00
Round 15 | Team 1 | Discarded TC Infallible [Astral] - 0 pips (Chance: 100%) | Reward: 0.00
Round 15 | Team 1 | Discarded Stun Block [Ice] - 0 pips (Chance: 100%) | Reward: 0.00
Round 15 | Team 1 | Discarded Jinn’s Defense [Myth] - 3 pips (Chance: 100%) | Reward: 0.00
Round 15 | Team 1 | Drew 0cards | Reward: 0.00
Round 15 | Team 1 | Casting pass | Reward: 0.00
Round 15 | Team 2 | Casting Wand-Hit | Reward: 0.00
Round 16 | Team 1 | Discarded Power Nova [Balance] - 7 pips (Chance: 85%) | Reward: 0.00
Round 16 | Team 1 | Discarded Sandstorm [Balance] - 4 pips (Chance: 80%) | Reward: 0.00
Round 16 | Team 1 | Drew 0cards | Reward: 0.00
Round 16 | Team 1 | Casting pass | Reward: 0.00
Round 16 | Team 2 | Casting Magnify | Reward: 0.00
Round 17 | Team 1 | Drew 0cards | Reward: 0.00
Round 17 | Team 1 | Casting Shadow Shrike | Reward: 0.00
Round 17 | Team 2 | Casting pass | Reward: 0.00
Round 18 | Team 1 | Discarded Steel Giant [Balance] - 4 pips (Chance: 85%) | Reward: 0.00
Round 18 | Team 1 | Discarded Supernova [Balance] - 2 pips (Chance: 60%) | Reward: 0.00
Round 18 | Team 1 | Discarded Judgement [Balance] - 0–14 pips (Chance: 85%) | Reward: 0.00
Round 18 | Team 1 | Discarded Sabertooth [Balance] - 10 pips (Chance: 80%) | Reward: 0.00
Round 18 | Team 1 | Discarded X [Balance] - 4 pips (Chance: 85%) | Reward: 0.00
Round 18 | Team 1 | Discarded TC Elemental Trap [Balance] - 0 pips (Chance: 100%) | Reward: 0.00
Round 18 | Team 1 | Discarded X [Balance] - 0–14 pips (Chance: 85%) | Reward: 0.00
Round 18 | Team 1 | Drew 0cards | Reward: 0.00
Round 18 | Team 1 | Casting pass | Reward: 0.00
Round 18 | Team 2 | Casting Donate Pip | Reward: 0.00
Round 19 | Team 1 | Discarded Power Nova [Balance] - 7 pips (Chance: 85%) | Reward: 0.00
Round 19 | Team 1 | Discarded Glacial Fortress [Ice] - 3 pips (Chance: 100%) | Reward: 0.00
Round 19 | Team 1 | Discarded Stun Block [Ice] - 0 pips (Chance: 100%) | Reward: 0.00
Round 19 | Team 1 | Discarded Elemental Trap [Balance] - 1 pips (Chance: 100%) | Reward: 0.00
Round 19 | Team 1 | Discarded Mana Burn [Balance] - 5 pips (Chance: 80%) | Reward: 0.00
Round 19 | Team 1 | Discarded Power Nova [Balance] - 7 pips (Chance: 85%) | Reward: 0.00
Round 19 | Team 1 | Drew 0cards | Reward: 0.00
Round 19 | Team 1 | Casting Stun Block | Reward: 0.00
Round 19 | Team 2 | Casting pass | Reward: 0.00
Round 19 | Team 1 | WON | Reward: 0.00
--------------------------------------------------------------------------------
WINNER: Team 1 | Final Round: 19
================================================================================

